"","subject","item","list","phrase","word","raw_rt","sentence","removed_rt","subject2","rt","accessible_G","inaccessible_G","accessible","inaccessible"
"107572",31,3,"binding1","5","herself",688,"Miss Kim heard that the queen talked about herself happily at the party.",688,"31/5",688,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"115102",33,3,"binding1","5","herself",499,"Miss Kim heard that the queen talked about herself happily at the party.",499,"33/5",499,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"118384",34,3,"binding1","5","herself",759,"Miss Kim heard that the queen talked about herself happily at the party.",759,"34/5",759,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"159985",48,3,"binding1","5","herself",432,"Miss Kim heard that the queen talked about herself happily at the party.",432,"48/5",432,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"163351",49,3,"binding1","5","herself",465,"Miss Kim heard that the queen talked about herself happily at the party.",465,"49/5",465,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"25659",3,3,"binding2","5","herself",585,"Mr. Williams heard that the queen talked about herself happily at the party.",585,"3/5",585,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"30438",5,3,"binding2","5","herself",479,"Mr. Williams heard that the queen talked about herself happily at the party.",479,"5/5",479,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"35882",7,3,"binding2","5","herself",432,"Mr. Williams heard that the queen talked about herself happily at the party.",432,"7/5",432,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"37967",8,3,"binding2","5","herself",470,"Mr. Williams heard that the queen talked about herself happily at the party.",470,"8/5",470,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"47606",11,3,"binding2","5","herself",1260,"Mr. Williams heard that the queen talked about herself happily at the party.",1260,"11/5",1260,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"71734",20,3,"binding2","5","herself",973,"Mr. Williams heard that the queen talked about herself happily at the party.",973,"20/5",NA,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"94571",26,3,"binding2","5","herself",578,"Mr. Williams heard that the queen talked about herself happily at the party.",578,"26/5",578,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"102156",29,3,"binding2","5","herself",697,"Mr. Williams heard that the queen talked about herself happily at the party.",697,"29/5",697,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"109385",32,3,"binding2","5","herself",682,"Mr. Williams heard that the queen talked about herself happily at the party.",682,"32/5",682,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"126634",37,3,"binding2","5","herself",500,"Mr. Williams heard that the queen talked about herself happily at the party.",500,"37/5",500,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"127768",38,3,"binding2","5","herself",636,"Mr. Williams heard that the queen talked about herself happily at the party.",636,"38/5",636,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"134577",40,3,"binding2","5","herself",815,"Mr. Williams heard that the queen talked about herself happily at the party.",815,"40/5",815,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"135122",41,3,"binding2","5","herself",595,"Mr. Williams heard that the queen talked about herself happily at the party.",595,"41/5",595,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"146094",45,3,"binding2","5","herself",523,"Mr. Williams heard that the queen talked about herself happily at the party.",523,"45/5",523,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"152197",46,3,"binding2","5","herself",642,"Mr. Williams heard that the queen talked about herself happily at the party.",642,"46/5",642,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"155024",47,3,"binding2","5","herself",1166,"Mr. Williams heard that the queen talked about herself happily at the party.",1166,"47/5",1166,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"43637",10,3,"binding3","5","himself",433,"Mr. Williams heard that the queen talked about himself happily at the party.",433,"10/5",433,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"52708",13,3,"binding3","5","himself",811,"Mr. Williams heard that the queen talked about himself happily at the party.",811,"13/5",811,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"53456",14,3,"binding3","5","himself",627,"Mr. Williams heard that the queen talked about himself happily at the party.",627,"14/5",627,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"56822",15,3,"binding3","5","himself",832,"Mr. Williams heard that the queen talked about himself happily at the party.",832,"15/5",832,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"66137",18,3,"binding3","5","himself",822,"Mr. Williams heard that the queen talked about himself happily at the party.",822,"18/5",822,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"74401",21,3,"binding3","5","himself",546,"Mr. Williams heard that the queen talked about himself happily at the party.",546,"21/5",546,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"83527",23,3,"binding3","5","himself",639,"Mr. Williams heard that the queen talked about himself happily at the party.",639,"23/5",639,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"130952",39,3,"binding3","5","himself",555,"Mr. Williams heard that the queen talked about himself happily at the party.",555,"39/5",555,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"140007",42,3,"binding3","5","himself",505,"Mr. Williams heard that the queen talked about himself happily at the party.",505,"42/5",505,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"141154",43,3,"binding3","5","himself",464,"Mr. Williams heard that the queen talked about himself happily at the party.",464,"43/5",464,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"13518",1,3,"binding4","5","himself",581,"Miss Kim heard that the queen talked about himself happily at the party.",581,"1/5",581,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"28787",4,3,"binding4","5","himself",458,"Miss Kim heard that the queen talked about himself happily at the party.",458,"4/5",458,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"32677",6,3,"binding4","5","himself",418,"Miss Kim heard that the queen talked about himself happily at the party.",418,"6/5",418,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"41327",9,3,"binding4","5","himself",453,"Miss Kim heard that the queen talked about himself happily at the party.",453,"9/5",453,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"48474",12,3,"binding4","5","himself",571,"Miss Kim heard that the queen talked about himself happily at the party.",571,"12/5",571,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"58830",16,3,"binding4","5","himself",516,"Miss Kim heard that the queen talked about himself happily at the party.",516,"16/5",516,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"68418",19,3,"binding4","5","himself",483,"Miss Kim heard that the queen talked about himself happily at the party.",483,"19/5",483,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"81840",22,3,"binding4","5","himself",433,"Miss Kim heard that the queen talked about himself happily at the party.",433,"22/5",433,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"86452",24,3,"binding4","5","himself",539,"Miss Kim heard that the queen talked about himself happily at the party.",539,"24/5",539,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
