"subject","item","ar","binding","group","binding_g","group_g"
"Native 34",6,"1",-1,-1,"Binding","Native"
"Native 35",6,"1",-1,-1,"Binding","Native"
"Native 36",6,"1",-1,-1,"Binding","Native"
"Native 55",6,"1",-1,-1,"Binding","Native"
"Native 56",6,"1",-1,-1,"Binding","Native"
"Native 57",6,"1",-1,-1,"Binding","Native"
"Native 58",6,"1",-1,-1,"Binding","Native"
"Native 59",6,"1",-1,-1,"Binding","Native"
"Native 60",6,"0",-1,-1,"Binding","Native"
"Native 61",6,"0",-1,-1,"Binding","Native"
"Native 62",6,"1",-1,-1,"Binding","Native"
"Native 63",6,"1",-1,-1,"Binding","Native"
"Native 64",6,"1",-1,-1,"Binding","Native"
"Native 65",6,"1",-1,-1,"Binding","Native"
"Native 66",6,"1",-1,-1,"Binding","Native"
"Native 67",6,"1",-1,-1,"Binding","Native"
"Native 68",6,"1",-1,-1,"Binding","Native"
"Native 69",6,"1",-1,-1,"Binding","Native"
"Native 70",6,"1",-1,-1,"Binding","Native"
"Native 71",6,"0",-1,-1,"Binding","Native"
"Native 72",6,"1",-1,-1,"Binding","Native"
"Native 1",6,"1",1,-1,"Non-Binding","Native"
"Native 2",6,"1",1,-1,"Non-Binding","Native"
"Native 3",6,"1",1,-1,"Non-Binding","Native"
"Native 4",6,"1",1,-1,"Non-Binding","Native"
"Native 5",6,"1",1,-1,"Non-Binding","Native"
"Native 6",6,"1",1,-1,"Non-Binding","Native"
"Native 7",6,"0",1,-1,"Non-Binding","Native"
"Native 8",6,"1",1,-1,"Non-Binding","Native"
"Native 9",6,"1",1,-1,"Non-Binding","Native"
"Native 10",6,"1",1,-1,"Non-Binding","Native"
"Native 11",6,"1",1,-1,"Non-Binding","Native"
"Native 12",6,"1",1,-1,"Non-Binding","Native"
"Native 13",6,"1",1,-1,"Non-Binding","Native"
"Native 14",6,"1",1,-1,"Non-Binding","Native"
"Native 15",6,"0",1,-1,"Non-Binding","Native"
"Native 16",6,"1",1,-1,"Non-Binding","Native"
"Native 17",6,"1",1,-1,"Non-Binding","Native"
"Native 18",6,"1",1,-1,"Non-Binding","Native"
"Native 37",6,"1",1,-1,"Non-Binding","Native"
"Native 38",6,"1",1,-1,"Non-Binding","Native"
"Native 39",6,"1",1,-1,"Non-Binding","Native"
"Native 40",6,"1",1,-1,"Non-Binding","Native"
"Native 41",6,"1",1,-1,"Non-Binding","Native"
"Native 42",6,"1",1,-1,"Non-Binding","Native"
"Native 43",6,"1",1,-1,"Non-Binding","Native"
"Native 44",6,"1",1,-1,"Non-Binding","Native"
"Native 45",6,"1",1,-1,"Non-Binding","Native"
"Native 46",6,"1",1,-1,"Non-Binding","Native"
"Native 47",6,"1",1,-1,"Non-Binding","Native"
"Native 48",6,"1",1,-1,"Non-Binding","Native"
"Native 49",6,"1",1,-1,"Non-Binding","Native"
"Native 50",6,"0",1,-1,"Non-Binding","Native"
"Native 51",6,"1",1,-1,"Non-Binding","Native"
"Native 52",6,"1",1,-1,"Non-Binding","Native"
"Native 53",6,"1",1,-1,"Non-Binding","Native"
"Native 54",6,"1",1,-1,"Non-Binding","Native"
"Native 1",7,"0",-1,-1,"Binding","Native"
"Native 2",7,"1",-1,-1,"Binding","Native"
"Native 3",7,"1",-1,-1,"Binding","Native"
"Native 4",7,"0",-1,-1,"Binding","Native"
"Native 5",7,"1",-1,-1,"Binding","Native"
"Native 6",7,"1",-1,-1,"Binding","Native"
"Native 7",7,"1",-1,-1,"Binding","Native"
"Native 8",7,"1",-1,-1,"Binding","Native"
"Native 9",7,"1",-1,-1,"Binding","Native"
"Native 10",7,"1",-1,-1,"Binding","Native"
"Native 11",7,"1",-1,-1,"Binding","Native"
"Native 12",7,"1",-1,-1,"Binding","Native"
"Native 13",7,"0",-1,-1,"Binding","Native"
"Native 14",7,"1",-1,-1,"Binding","Native"
"Native 15",7,"1",-1,-1,"Binding","Native"
